,border color,figure,time
0,red,Y,2021-11-11 14:17:55.358332
1,blue,Y,2021-11-11 14:17:57.413213
2,red,X,2021-11-11 14:17:59.428607
3,blue,X,2021-11-11 14:18:01.448478
4,red,Y,2021-11-11 14:18:03.464692
5,red,Y,2021-11-11 14:18:05.479336
6,red,Y,2021-11-11 14:18:07.492636
7,blue,Y,2021-11-11 14:18:09.508442
8,blue,Y,2021-11-11 14:18:11.524457
9,blue,Y,2021-11-11 14:18:13.540822
10,blue,X,2021-11-11 14:18:15.556007
11,blue,X,2021-11-11 14:18:17.573225
12,red,Y,2021-11-11 14:18:19.598092
13,blue,Y,2021-11-11 14:18:21.613430
14,blue,X,2021-11-11 14:18:23.682913
15,blue,Y,2021-11-11 14:18:25.698811
16,red,Y,2021-11-11 14:18:27.721536
17,red,X,2021-11-11 14:18:29.737104
18,blue,Y,2021-11-11 14:18:31.761244
19,red,X,2021-11-11 14:18:33.775213
20,blue,X,2021-11-11 14:18:35.800629
21,red,X,2021-11-11 14:18:37.815864
22,red,Y,2021-11-11 14:18:39.830729
23,blue,X,2021-11-11 14:18:41.848004
24,red,Y,2021-11-11 14:18:43.862325
