	system_time_stamp	msg
0	218660679909	Calibration_start
1	218660694347	calibration point 0 at position -19.169474339912615 10.782829316200846
2	218662886342	calibration point 1 at position -19.169474339912615 -10.782829316200846
3	218665003418	calibration point 2 at position 0.0 -0.0
4	218667285876	calibration point 3 at position 19.169474339912615 10.782829316200846
5	218669402479	calibration point 4 at position 19.169474339912615 -10.782829316200846
6	218671807685	Calibration_stop
7	218671908100	Validation_start
8	218672419161	validation point 0 at position -14.377105754934458 -0.0
9	218673919629	validation point 1 at position 0.0 8.087121987150633
10	218675419611	validation point 2 at position 14.377105754934462 -0.0
11	218676919989	validation point 3 at position 0.0 -8.087121987150637
12	218677920652	Validation_end
13	218678107009	validation data quality Dev_L: 1.70, Dev_R: 1.82 RMS_L: 0.45, RMS_R: 0.18, SD_L: 0.32, SD_R: 0.12, LOSS_L: 0.08, LOSS_R: 0.09
